11/26/2018,20:15,TennesseeTitans,HoustonTexans
11/29/2018,20:20,NewOrleansSaints,DallasCowboys
12/02/2018,13:00,ArizonaCardinals,GreenBayPackers
12/02/2018,13:00,BaltimoreRavens,AtlantaFalcons
12/02/2018,13:00,BuffaloBills,MiamiDolphins
12/02/2018,13:00,CarolinaPanthers,TampaBayBuccaneers
12/02/2018,13:00,ChicagoBears,NewYorkGiants
12/02/2018,13:00,ClevelandBrowns,HoustonTexans
12/02/2018,13:00,DenverBroncos,CincinnatiBengals
12/02/2018,13:00,IndianapolisColts,JacksonvilleJaguars
12/02/2018,13:00,LosAngelesChargers,PittsburghSteelers
12/02/2018,13:00,LosAngelesRams,DetroitLions
12/02/2018,16:05,KansasCityChiefs,OaklandRaiders
12/02/2018,16:05,NewYorkJets,TennesseeTitans
12/02/2018,16:25,MinnesotaVikings,NewEnglandPatriots
12/02/2018,20:20,SanFrancisco49ers,SeattleSeahawks
12/03/2018,20:15,WashingtonRedskins,PhiladelphiaEagles
12/06/2018,20:20,JacksonvilleJaguars,TennesseeTitans
12/09/2018,13:00,AtlantaFalcons,GreenBayPackers
12/09/2018,13:00,BaltimoreRavens,KansasCityChiefs
12/09/2018,13:00,CarolinaPanthers,ClevelandBrowns
12/09/2018,13:00,IndianapolisColts,HoustonTexans
12/09/2018,13:00,LosAngelesRams,ChicagoBears
12/09/2018,13:00,NewEnglandPatriots,MiamiDolphins
12/09/2018,13:00,NewOrleansSaints,TampaBayBuccaneers
12/09/2018,13:00,NewYorkGiants,WashingtonRedskins
12/09/2018,13:00,NewYorkJets,BuffaloBills
12/09/2018,16:05,CincinnatiBengals,LosAngelesChargers
12/09/2018,16:05,DenverBroncos,SanFrancisco49ers
12/09/2018,16:25,DetroitLions,ArizonaCardinals
12/09/2018,16:25,PhiladelphiaEagles,DallasCowboys
12/09/2018,20:20,PittsburghSteelers,OaklandRaiders
12/10/2018,20:15,MinnesotaVikings,SeattleSeahawks
